3.8078 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of ['Built-in Output']
9.3282 	EXP 	window1: blendMode = 'avg'
9.3288 	EXP 	window1: blendMode = 'avg'
9.3294 	EXP 	window1: blendMode = 'avg'
9.3451 	EXP 	window1: blendMode = 'avg'
9.3457 	EXP 	window1: blendMode = 'avg'
9.3463 	EXP 	window1: blendMode = 'avg'
9.3618 	EXP 	window1: blendMode = 'avg'
9.3624 	EXP 	window1: blendMode = 'avg'
9.3630 	EXP 	window1: blendMode = 'avg'
9.3793 	EXP 	window1: blendMode = 'avg'
9.3799 	EXP 	window1: blendMode = 'avg'
9.3805 	EXP 	window1: blendMode = 'avg'
9.3953 	EXP 	window1: blendMode = 'avg'
9.3957 	EXP 	window1: blendMode = 'avg'
9.3963 	EXP 	window1: blendMode = 'avg'
9.4118 	EXP 	window1: blendMode = 'avg'
9.4124 	EXP 	window1: blendMode = 'avg'
9.4130 	EXP 	window1: blendMode = 'avg'
9.4284 	EXP 	window1: blendMode = 'avg'
9.4290 	EXP 	window1: blendMode = 'avg'
9.4296 	EXP 	window1: blendMode = 'avg'
9.4451 	EXP 	window1: blendMode = 'avg'
9.4456 	EXP 	window1: blendMode = 'avg'
9.4462 	EXP 	window1: blendMode = 'avg'
9.4613 	EXP 	window1: blendMode = 'avg'
9.4619 	EXP 	window1: blendMode = 'avg'
9.4625 	EXP 	window1: blendMode = 'avg'
9.4789 	EXP 	window1: blendMode = 'avg'
9.4795 	EXP 	window1: blendMode = 'avg'
9.4800 	EXP 	window1: blendMode = 'avg'
9.4957 	EXP 	window1: blendMode = 'avg'
9.4963 	EXP 	window1: blendMode = 'avg'
9.4969 	EXP 	window1: blendMode = 'avg'
9.5147 	DATA 	Keypress: 2
9.5160 	EXP 	window1: blendMode = 'avg'
9.5165 	EXP 	window1: blendMode = 'avg'
9.5170 	EXP 	window1: blendMode = 'avg'
9.5284 	EXP 	window1: blendMode = 'avg'
9.5290 	EXP 	window1: blendMode = 'avg'
9.5296 	EXP 	window1: blendMode = 'avg'
9.5453 	EXP 	window1: blendMode = 'avg'
9.5457 	EXP 	window1: blendMode = 'avg'
9.5461 	EXP 	window1: blendMode = 'avg'
9.5611 	EXP 	window1: blendMode = 'avg'
9.5615 	EXP 	window1: blendMode = 'avg'
9.5618 	EXP 	window1: blendMode = 'avg'
9.5786 	EXP 	window1: blendMode = 'avg'
9.5792 	EXP 	window1: blendMode = 'avg'
9.5797 	EXP 	window1: blendMode = 'avg'
9.5951 	EXP 	window1: blendMode = 'avg'
9.5956 	EXP 	window1: blendMode = 'avg'
9.5962 	EXP 	window1: blendMode = 'avg'
9.6126 	EXP 	window1: blendMode = 'avg'
9.6132 	EXP 	window1: blendMode = 'avg'
9.6138 	EXP 	window1: blendMode = 'avg'
9.6284 	EXP 	window1: blendMode = 'avg'
9.6289 	EXP 	window1: blendMode = 'avg'
9.6295 	EXP 	window1: blendMode = 'avg'
9.6452 	EXP 	window1: blendMode = 'avg'
9.6457 	EXP 	window1: blendMode = 'avg'
9.6463 	EXP 	window1: blendMode = 'avg'
9.6615 	EXP 	window1: blendMode = 'avg'
9.6621 	EXP 	window1: blendMode = 'avg'
9.6627 	EXP 	window1: blendMode = 'avg'
9.6783 	EXP 	window1: blendMode = 'avg'
9.6789 	EXP 	window1: blendMode = 'avg'
9.6794 	EXP 	window1: blendMode = 'avg'
9.6959 	EXP 	window1: blendMode = 'avg'
9.6965 	EXP 	window1: blendMode = 'avg'
9.6970 	EXP 	window1: blendMode = 'avg'
9.7132 	EXP 	window1: blendMode = 'avg'
9.7138 	EXP 	window1: blendMode = 'avg'
9.7144 	EXP 	window1: blendMode = 'avg'
9.7285 	EXP 	window1: blendMode = 'avg'
9.7291 	EXP 	window1: blendMode = 'avg'
9.7296 	EXP 	window1: blendMode = 'avg'
9.7451 	EXP 	window1: blendMode = 'avg'
9.7457 	EXP 	window1: blendMode = 'avg'
9.7463 	EXP 	window1: blendMode = 'avg'
9.7620 	EXP 	window1: blendMode = 'avg'
9.7625 	EXP 	window1: blendMode = 'avg'
9.7629 	EXP 	window1: blendMode = 'avg'
9.7782 	EXP 	window1: blendMode = 'avg'
9.7788 	EXP 	window1: blendMode = 'avg'
9.7794 	EXP 	window1: blendMode = 'avg'
9.7959 	EXP 	window1: blendMode = 'avg'
9.7965 	EXP 	window1: blendMode = 'avg'
9.7969 	EXP 	window1: blendMode = 'avg'
9.8118 	EXP 	window1: blendMode = 'avg'
9.8124 	EXP 	window1: blendMode = 'avg'
9.8129 	EXP 	window1: blendMode = 'avg'
9.8284 	EXP 	window1: blendMode = 'avg'
9.8290 	EXP 	window1: blendMode = 'avg'
9.8296 	EXP 	window1: blendMode = 'avg'
9.8448 	EXP 	window1: blendMode = 'avg'
