,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
7559,"{'x': 1107.9781, 'y': 543.6374}",True,"{'avg': {'x': 1205.6121, 'y': 526.0491}, 'pcenter': {'x': 0.5024, 'y': 0.5441}, 'psize': 30.7724, 'raw': {'x': 1064.8628, 'y': 542.0067}}","{'x': 1031.6724, 'y': 535.9017}","{'avg': {'x': 1158.5626, 'y': 523.8882}, 'pcenter': {'x': 0.6435, 'y': 0.5476}, 'psize': 30.8965, 'raw': {'x': 998.4819, 'y': 529.7968}}",7,12084044,1553716503.372,7,998.4819,529.7968,1064.8628,542.0067,1031.67235,535.90175,12,64,1,/variabl,0.0,1553716500.679015
7560,"{'x': 1112.3726, 'y': 542.2089}",True,"{'avg': {'x': 1181.7051, 'y': 529.2018}, 'pcenter': {'x': 0.5023, 'y': 0.5441}, 'psize': 30.7838, 'raw': {'x': 1045.5488, 'y': 546.9186}}","{'x': 1025.1134, 'y': 547.8138}","{'avg': {'x': 1135.4886, 'y': 527.5967}, 'pcenter': {'x': 0.6436, 'y': 0.5477}, 'psize': 30.8738, 'raw': {'x': 1004.678, 'y': 548.709}}",7,12084078,1553716503.406,7,1004.678,548.709,1045.5488,546.9186,1025.1134,547.8137999999999,12,64,1,/variabl,0.0,1553716500.679015
7561,"{'x': 1115.1179, 'y': 541.1052}",True,"{'avg': {'x': 1163.4315, 'y': 534.3311}, 'pcenter': {'x': 0.5024, 'y': 0.5442}, 'psize': 30.7612, 'raw': {'x': 1046.0229, 'y': 567.6899}}","{'x': 1026.3125, 'y': 557.873}","{'avg': {'x': 1118.0465, 'y': 530.3553}, 'pcenter': {'x': 0.6437, 'y': 0.5477}, 'psize': 30.8767, 'raw': {'x': 1006.6021, 'y': 548.0561}}",7,12084112,1553716503.44,7,1006.6021,548.0561,1046.0229,567.6899,1026.3125,557.873,12,64,1,/variabl,0.0,1553716500.679015
7562,"{'x': 1117.3198, 'y': 540.2118}",True,"{'avg': {'x': 1149.115, 'y': 535.2095}, 'pcenter': {'x': 0.5023, 'y': 0.5441}, 'psize': 30.8116, 'raw': {'x': 1048.1312, 'y': 540.3737}}","{'x': 1030.5302, 'y': 540.9016}","{'avg': {'x': 1104.8917, 'y': 531.7744}, 'pcenter': {'x': 0.6437, 'y': 0.5477}, 'psize': 30.8568, 'raw': {'x': 1012.9291, 'y': 541.4294}}",7,12084156,1553716503.484,7,1012.9291,541.4294,1048.1312,540.3737,1030.53015,540.90155,12,64,1,/variabl,0.0,1553716500.679015
7563,"{'x': 1120.2156, 'y': 539.0563}",True,"{'avg': {'x': 1137.6327, 'y': 537.8259}, 'pcenter': {'x': 0.5023, 'y': 0.5442}, 'psize': 30.5191, 'raw': {'x': 1050.6672, 'y': 558.0834}}","{'x': 1028.6901, 'y': 560.0558}","{'avg': {'x': 1093.429, 'y': 535.1478}, 'pcenter': {'x': 0.6436, 'y': 0.5478}, 'psize': 30.9466, 'raw': {'x': 1006.7128, 'y': 562.0283}}",7,12084189,1553716503.517,7,1006.7128,562.0283,1050.6672,558.0834,1028.69,560.05585,12,64,1,/variabl,0.0,1553716500.679015
7564,"{'x': 1122.1802, 'y': 538.1777}",True,"{'avg': {'x': 1127.6746, 'y': 538.6893}, 'pcenter': {'x': 0.5022, 'y': 0.5441}, 'psize': 30.4921, 'raw': {'x': 1047.5616, 'y': 544.5831}}","{'x': 1031.5414, 'y': 551.8325}","{'avg': {'x': 1084.6691, 'y': 537.697}, 'pcenter': {'x': 0.6436, 'y': 0.5478}, 'psize': 30.8026, 'raw': {'x': 1015.5212, 'y': 559.0819}}",7,12084223,1553716503.551,7,1015.5212,559.0819,1047.5616,544.5831,1031.5414,551.8325,12,64,1,/variabl,0.0,1553716500.679015
7565,"{'x': 1123.2352, 'y': 537.4361}",True,"{'avg': {'x': 1118.6411, 'y': 537.8627}, 'pcenter': {'x': 0.5021, 'y': 0.5441}, 'psize': 29.5835, 'raw': {'x': 1042.1034, 'y': 527.6863}}","{'x': 1020.4751, 'y': 542.8063}","{'avg': {'x': 1075.6343, 'y': 539.7786}, 'pcenter': {'x': 0.6435, 'y': 0.5477}, 'psize': 30.7644, 'raw': {'x': 998.8467, 'y': 557.9263}}",7,12084266,1553716503.594,7,998.8467,557.9263,1042.1034,527.6863,1020.47505,542.8063,12,64,1,/variabl,0.0,1553716500.679015
7566,"{'x': 1123.6177, 'y': 536.8814}",True,"{'avg': {'x': 1112.7277, 'y': 537.7632}, 'pcenter': {'x': 0.5021, 'y': 0.5441}, 'psize': 29.4529, 'raw': {'x': 1064.5183, 'y': 535.0331}}","{'x': 1039.0083, 'y': 549.6849}","{'avg': {'x': 1069.0454, 'y': 542.1489}, 'pcenter': {'x': 0.6435, 'y': 0.5478}, 'psize': 30.729, 'raw': {'x': 1013.4984, 'y': 564.3366}}",7,12084300,1553716503.628,7,1013.4984,564.3366,1064.5183,535.0331,1039.00835,549.68485,12,64,1,/variabl,0.0,1553716500.679015
7567,"{'x': 1122.9919, 'y': 536.4838}",True,"{'avg': {'x': 1105.9349, 'y': 537.6754}, 'pcenter': {'x': 0.5022, 'y': 0.5442}, 'psize': 29.556, 'raw': {'x': 1044.994, 'y': 535.1769}}","{'x': 1021.8057, 'y': 542.1996}","{'avg': {'x': 1062.0326, 'y': 543.0037}, 'pcenter': {'x': 0.6435, 'y': 0.5477}, 'psize': 30.812, 'raw': {'x': 998.6172, 'y': 549.2224}}",7,12084333,1553716503.661,7,998.6172,549.2224,1044.994,535.1769,1021.8055999999999,542.19965,12,64,1,/variabl,0.0,1553716500.679015
7568,"{'x': 1121.9943, 'y': 536.236}",True,"{'avg': {'x': 1100.6823, 'y': 538.0963}, 'pcenter': {'x': 0.5023, 'y': 0.5442}, 'psize': 29.787, 'raw': {'x': 1055.0875, 'y': 541.7086}}","{'x': 1032.9828, 'y': 550.6534}","{'avg': {'x': 1056.7516, 'y': 544.5687}, 'pcenter': {'x': 0.6436, 'y': 0.5478}, 'psize': 30.6981, 'raw': {'x': 1010.8781, 'y': 559.5983}}",7,12084376,1553716503.704,7,1010.8781,559.5983,1055.0875,541.7086,1032.9828,550.65345,12,64,1,/variabl,0.0,1553716500.679015
7569,"{'x': 1120.5109, 'y': 536.1261}",True,"{'avg': {'x': 1096.5494, 'y': 538.8289}, 'pcenter': {'x': 0.5024, 'y': 0.5441}, 'psize': 29.5682, 'raw': {'x': 1062.6066, 'y': 546.4965}}","{'x': 1035.2238, 'y': 554.9088}","{'avg': {'x': 1051.8018, 'y': 546.2563}, 'pcenter': {'x': 0.6437, 'y': 0.5478}, 'psize': 30.6925, 'raw': {'x': 1007.8409, 'y': 563.321}}",7,12084410,1553716503.738,7,1007.8409,563.321,1062.6066,546.4965,1035.22375,554.90875,12,64,1,/variabl,0.0,1553716500.679015
7570,"{'x': 1118.2675, 'y': 536.2101}",True,"{'avg': {'x': 1092.0054, 'y': 540.2764}, 'pcenter': {'x': 0.5023, 'y': 0.5442}, 'psize': 29.7338, 'raw': {'x': 1050.9567, 'y': 557.3475}}","{'x': 1032.2511, 'y': 556.2485}","{'avg': {'x': 1047.7571, 'y': 547.2007}, 'pcenter': {'x': 0.6437, 'y': 0.5478}, 'psize': 30.6903, 'raw': {'x': 1013.5456, 'y': 555.1495}}",7,12084445,1553716503.773,7,1013.5456,555.1495,1050.9567,557.3475,1032.25115,556.2484999999999,12,64,1,/variabl,0.0,1553716500.679015
7698,"{'x': 1028.858, 'y': 549.1141}",True,"{'avg': {'x': 1030.4583, 'y': 555.8056}, 'pcenter': {'x': 0.5023, 'y': 0.5443}, 'psize': 33.3106, 'raw': {'x': 1016.3107, 'y': 549.162}}","{'x': 1022.8839, 'y': 553.3878}","{'avg': {'x': 1022.7877, 'y': 555.6238}, 'pcenter': {'x': 0.6438, 'y': 0.548}, 'psize': 32.6717, 'raw': {'x': 1029.4572, 'y': 557.6135}}",7,12089190,1553716508.518,7,1029.4572,557.6135,1016.3107,549.162,1022.88395,553.3877500000001,12,64,1,/variabl,1.0,1553716508.480721
7699,"{'x': 1028.6157, 'y': 550.2513}",True,"{'avg': {'x': 1029.3423, 'y': 554.2857}, 'pcenter': {'x': 0.5022, 'y': 0.5444}, 'psize': 33.3435, 'raw': {'x': 1019.9807, 'y': 534.6978}}","{'x': 1023.3605, 'y': 552.922}","{'avg': {'x': 1023.0291, 'y': 556.8899}, 'pcenter': {'x': 0.6437, 'y': 0.5481}, 'psize': 32.7715, 'raw': {'x': 1026.7404, 'y': 571.1463}}",7,12089223,1553716508.551,7,1026.7404,571.1463,1019.9807,534.6978,1023.3605499999999,552.92205,12,64,1,/variabl,1.0,1553716508.480721
7700,"{'x': 1028.3529, 'y': 551.2283}",True,"{'avg': {'x': 1029.1112, 'y': 552.7427}, 'pcenter': {'x': 0.5021, 'y': 0.5444}, 'psize': 33.3809, 'raw': {'x': 1030.8491, 'y': 528.8659}}","{'x': 1030.6708, 'y': 544.9011}","{'avg': {'x': 1023.6938, 'y': 557.4168}, 'pcenter': {'x': 0.6437, 'y': 0.548}, 'psize': 32.6915, 'raw': {'x': 1030.4924, 'y': 560.9362}}",7,12089256,1553716508.584,7,1030.4924,560.9362,1030.8491,528.8659,1030.67075,544.9010499999999,12,64,1,/variabl,1.0,1553716508.480721
7701,"{'x': 1028.031, 'y': 552.2079}",True,"{'avg': {'x': 1027.5703, 'y': 550.7454}, 'pcenter': {'x': 0.5021, 'y': 0.5444}, 'psize': 33.5159, 'raw': {'x': 1008.1924, 'y': 526.3093}}","{'x': 1019.5941, 'y': 542.6073}","{'avg': {'x': 1024.3462, 'y': 558.0286}, 'pcenter': {'x': 0.6437, 'y': 0.548}, 'psize': 32.6354, 'raw': {'x': 1030.9957, 'y': 558.9052}}",7,12089300,1553716508.628,7,1030.9957,558.9052,1008.1924,526.3093,1019.5940499999999,542.60725,12,64,1,/variabl,1.0,1553716508.480721
7702,"{'x': 1027.7523, 'y': 553.0544}",True,"{'avg': {'x': 1027.4772, 'y': 547.7237}, 'pcenter': {'x': 0.5022, 'y': 0.5443}, 'psize': 33.4477, 'raw': {'x': 1032.7856, 'y': 509.751}}","{'x': 1030.4407, 'y': 531.4147}","{'avg': {'x': 1024.886, 'y': 558.0088}, 'pcenter': {'x': 0.6437, 'y': 0.5481}, 'psize': 32.5824, 'raw': {'x': 1028.0957, 'y': 553.0784}}",7,12089334,1553716508.662,7,1028.0957,553.0784,1032.7856,509.751,1030.44065,531.4147,12,64,1,/variabl,1.0,1553716508.480721
7703,"{'x': 1027.5624, 'y': 553.4821}",True,"{'avg': {'x': 1026.934, 'y': 546.5604}, 'pcenter': {'x': 0.5022, 'y': 0.5444}, 'psize': 33.3402, 'raw': {'x': 1024.2687, 'y': 537.0767}}","{'x': 1027.0193, 'y': 545.3541}","{'avg': {'x': 1025.2142, 'y': 558.0998}, 'pcenter': {'x': 0.6437, 'y': 0.548}, 'psize': 32.7449, 'raw': {'x': 1029.7698, 'y': 553.6315}}",7,12089367,1553716508.695,7,1029.7698,553.6315,1024.2687,537.0767,1027.01925,545.3541,12,64,1,/variabl,1.0,1553716508.480721
7704,"{'x': 1027.437, 'y': 553.063}",True,"{'avg': {'x': 835.4312, 'y': 543.5593}, 'pcenter': {'x': 0.5003, 'y': 0.5444}, 'psize': 33.508, 'raw': {'x': 835.4312, 'y': 543.5593}}","{'x': 837.3467, 'y': 530.7315}","{'avg': {'x': 839.2621, 'y': 517.9037}, 'pcenter': {'x': 0.6417, 'y': 0.5475}, 'psize': 32.3822, 'raw': {'x': 839.2621, 'y': 517.9037}}",7,12089411,1553716508.739,7,839.2621,517.9037,835.4312,543.5593,837.34665,530.7315,12,64,1,/variabl,1.0,1553716508.480721
7705,"{'x': 776.1938, 'y': 546.3901}",False,"{'avg': {'x': 779.3482, 'y': 549.5114}, 'pcenter': {'x': 0.4998, 'y': 0.5443}, 'psize': 33.3383, 'raw': {'x': 779.3482, 'y': 549.5114}}","{'x': 776.1938, 'y': 546.3901}","{'avg': {'x': 773.0394, 'y': 543.2689}, 'pcenter': {'x': 0.6412, 'y': 0.5477}, 'psize': 32.5002, 'raw': {'x': 773.0394, 'y': 543.2689}}",7,12089444,1553716508.772,7,773.0394,543.2689,779.3482,549.5114,776.1938,546.39015,12,64,1,/variabl,1.0,1553716508.480721
7706,"{'x': 777.9182, 'y': 547.9004}",False,"{'avg': {'x': 780.4832, 'y': 548.1881}, 'pcenter': {'x': 0.4999, 'y': 0.5443}, 'psize': 33.1358, 'raw': {'x': 781.6153, 'y': 546.8683}}","{'x': 779.6382, 'y': 549.4067}","{'avg': {'x': 775.3531, 'y': 547.6126}, 'pcenter': {'x': 0.6412, 'y': 0.5478}, 'psize': 32.1804, 'raw': {'x': 777.6611, 'y': 551.9453}}",7,12089478,1553716508.806,7,777.6611,551.9453,781.6153,546.8683,779.6382000000001,549.4068,12,64,1,/variabl,1.0,1553716508.480721
7707,"{'x': 778.9268, 'y': 549.161}",False,"{'avg': {'x': 782.3782, 'y': 546.4907}, 'pcenter': {'x': 0.4998, 'y': 0.5443}, 'psize': 32.5022, 'raw': {'x': 786.1382, 'y': 543.124}}","{'x': 784.3956, 'y': 554.6628}","{'avg': {'x': 777.8008, 'y': 553.8427}, 'pcenter': {'x': 0.6413, 'y': 0.5479}, 'psize': 31.6092, 'raw': {'x': 782.6531, 'y': 566.2017}}",7,12089522,1553716508.85,7,782.6531,566.2017,786.1382,543.124,784.3956499999999,554.6628499999999,12,64,1,/variabl,1.0,1553716508.480721
